ID,Country,MaxTemp,Humidity,lat,lng,Cloudiness,Wind_Speed
3034951,FR,296.48,37,49.55,0.96,73,2.6
566363,RU,292.15,72,54.81,36.31,40,8
3894426,CL,274.15,80,-45.58,-72.07,90,1
1259385,IN,302.16,72,11.67,92.75,100,2.94
2070998,AU,288.15,82,-28.77,114.6,0,2.1
6201424,NZ,277.04,83,-46.19,168.86,83,1.34
3361934,ZA,293.15,68,-33.01,17.94,0,1.5
5558953,US,286.48,96,40.87,-124.08,63,1.38
1235846,LK,301.43,75,5.95,80.54,69,3.35
5952554,CA,290.37,82,46.36,-79.93,90,3.6
2075265,AU,290.93,61,-33.65,115.33,93,11.33
5122534,US,293.71,100,42.1,-79.24,1,3.6
893485,ZW,297.59,32,-21.05,31.67,9,3.64
4031574,RU,282.73,73,64.38,-173.3,0,2.01
4020109,PF,299.44,77,-9.8,-139.03,7,9.49
5554072,US,287.04,87,58.3,-134.42,90,4.1
3652764,EC,294.26,87,-0.74,-90.35,100,0.89
6111862,CA,285.74,89,50.7,-127.42,70,4.05
5106841,US,294.26,86,42.6,-73.97,94,1.24
3430863,AR,282.59,100,-38,-57.56,90,13.4
1082243,MG,302.25,36,-13.2,49.05,7,1.62
3991622,MX,300.37,86,28.72,-111.58,22,0.89
4030556,PF,292.45,58,-23.12,-134.97,68,6.5
1831112,KH,304.15,62,10.62,104.18,20,2.1
4499379,US,300.15,83,34.23,-77.94,1,2.6
1510030,RU,291.96,61,53.45,89.53,2,2.43
525426,RU,290.94,64,54.43,31.9,43,6.82
1860098,JP,296.48,92,36.55,139.73,66,0.89
1728675,PH,301.55,79,7.99,117.06,100,5.07
2206939,NZ,277.04,83,-46.6,168.33,75,1.34
546105,RU,291.15,68,59.7,30.79,40,8
3833367,AR,272.15,86,-54.8,-68.3,31,2.1
174448,SY,316.41,11,34.45,40.92,0,4.91
3429594,AR,292.13,83,-29.15,-59.65,100,2.5
5848280,US,298.15,78,22.08,-159.32,75,4.6
866062,RU,299.3,44,67.68,53.15,1,5.49
5847411,US,297.15,64,20.89,-156.47,1,2.99
292968,AE,316.15,25,24.47,54.37,55,3.1
3868633,CL,282.16,78,-28.57,-70.76,43,0.77
1267390,IN,301.51,78,10.57,72.64,95,7.3
2155415,AU,280.93,82,-42.78,147.06,95,0.45
3899539,CL,286.15,87,-23.65,-70.4,75,4.6
3831208,GL,280.42,58,77.48,-69.36,0,2.81
934322,MU,295.15,53,-20.41,57.7,75,7.7
964432,ZA,293.84,69,-33.59,26.89,0,5.15
1224061,LK,303.15,79,6.8,81.48,40,4.1
3874787,CL,267.15,92,-53.15,-70.92,90,4.1
5983720,CA,281.15,75,63.75,-68.51,90,5.1
3375941,GY,298.23,89,5.88,-57.13,100,2
