ID,City Name,Country,Date,MaxTemp,Humidity,lat,lng,Cloudiness,Wind_Speed,Formatted Date
5924351,Clyde River,CA,1595731143,39.2,93,70.47,-68.59,75,6.93,2020-07-25
1649150,Bengkulu,ID,1595731146,82.74,70,-3.8,102.27,4,7.76,2020-07-25
2620871,Hals,DK,1595731146,61,94,57,10.31,100,3,2020-07-25
470905,Vuktyl,RU,1595731146,65.1,61,63.86,57.31,57,1.81,2020-07-25
3873145,Río Bueno,CL,1595731146,46.4,100,-40.32,-72.97,100,5.82,2020-07-25
2120591,Tilichiki,RU,1595731146,72.66,52,60.47,166.1,0,5.35,2020-07-25
5106841,Albany,US,1595731112,77,86,42.6,-73.97,2,4.38,2020-07-25
2017155,Saskylakh,RU,1595731146,35.24,94,71.92,114.08,100,23.33,2020-07-25
2110227,Butaritari,KI,1595731146,83.34,76,3.07,172.79,12,15.43,2020-07-25
3361934,Saldanha,ZA,1595731147,58.82,80,-33.01,17.94,45,12.86,2020-07-25
3466704,Castro,BR,1595730927,54.43,89,-24.79,-50.01,99,3.18,2020-07-25
4030556,Rikitea,PF,1595731147,70.45,81,-23.12,-134.97,18,20.85,2020-07-25
2276492,Harper,LR,1595731147,75.58,76,4.38,-7.72,74,7.85,2020-07-25
2015306,Tiksi,RU,1595731147,39.43,96,71.69,128.87,100,8.19,2020-07-25
3374210,São Filipe,CV,1595731147,78.33,89,14.9,-24.5,99,5.91,2020-07-25
3897334,Calbuco,CL,1595731147,46.4,100,-41.77,-73.13,75,3.36,2020-07-25
3394023,Natal,BR,1595731147,73.4,94,-5.79,-35.21,75,6.93,2020-07-25
1267635,Karwar,IN,1595731147,79.72,84,14.8,74.13,56,8.93,2020-07-25
1267390,Kavaratti,IN,1595731148,81.79,78,10.57,72.64,100,16.08,2020-07-25
6201424,Mataura,NZ,1595731148,53.01,67,-46.19,168.86,28,5.95,2020-07-25
4034551,Faanui,PF,1595731148,78.22,79,-16.48,-151.75,22,15.68,2020-07-25
3652764,Puerto Ayora,EC,1595731145,66.99,93,-0.74,-90.35,99,1.01,2020-07-25
653272,Kemijärvi,FI,1595731148,54.48,82,66.71,27.43,88,7.43,2020-07-25
1106677,Bambous Virieux,MU,1595731148,70,60,-20.34,57.76,75,13.87,2020-07-25
4833425,East Haven,US,1595731015,79,68,41.28,-72.87,59,3,2020-07-25
3833367,Ushuaia,AR,1595730884,30.2,92,-54.8,-68.3,40,19.46,2020-07-25
